Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Group,Income To Age Ratio
39,No,Travel_Rarely,1383,Human Resources,2 KM,Bachelor’s Degree,Life Sciences,909,Very High,Female,42,2,2,Human Resources,Very High,Married,5204,7790,8,No,11,High,High,,13,2,Better,5,4,0,4,30s,133.43589743589743
33,No,Travel_Rarely,1075,Human Resources,3 KM,Associate’s Degree,Human Resources,910,Very High,Male,57,3,1,Human Resources,Medium,Divorced,2277,22650,3,Yes,11,High,High,,7,4,Best,4,3,0,3,30s,69.0
32,Yes,Travel_Rarely,374,Research & Development,25 KM,Master’s Degree,Life Sciences,911,Low,Male,87,3,1,Laboratory Technician,Very High,Single,2795,18016,1,Yes,24,Very High,High,,1,2,Bad,1,0,0,1,30s,87.34375
29,No,Travel_Rarely,1086,Research & Development,7 KM,High School,Medical,912,Low,Female,62,2,1,Laboratory Technician,Very High,Divorced,2532,6054,6,No,14,High,High,,8,5,Better,4,3,0,3,20s,87.3103448275862
44,No,Travel_Rarely,661,Research & Development,9 KM,Associate’s Degree,Life Sciences,913,Medium,Male,61,3,1,Research Scientist,Low,Married,2559,7508,1,Yes,13,High,Very High,,8,0,Better,8,7,7,1,40s,58.15909090909091
28,No,Travel_Rarely,821,Sales,5 KM,Master’s Degree,Medical,916,Low,Male,98,3,2,Sales Executive,Very High,Single,4908,24252,1,No,14,High,Medium,,4,3,Better,4,2,0,2,20s,175.28571428571428
58,Yes,Travel_Frequently,781,Research & Development,2 KM,High School,Life Sciences,918,Very High,Male,57,2,1,Laboratory Technician,Very High,Divorced,2380,13384,9,Yes,14,High,Very High,,3,3,Good,1,0,0,0,50s,41.03448275862069
43,No,Travel_Rarely,177,Research & Development,8 KM,Bachelor’s Degree,Life Sciences,920,Low,Female,55,3,2,Manufacturing Director,Medium,Divorced,4765,23814,4,No,21,Very High,High,,4,2,Best,1,0,0,0,40s,110.81395348837209
20,Yes,Travel_Rarely,500,Sales,2 KM,Bachelor’s Degree,Medical,922,High,Female,49,2,1,Sales Representative,High,Single,2044,22052,1,No,13,High,Very High,,2,3,Good,2,2,0,2,20s,102.2
21,Yes,Travel_Rarely,1427,Research & Development,18 KM,High School,Other,923,Very High,Female,65,3,1,Research Scientist,Very High,Single,2693,8870,1,No,19,High,Low,,1,3,Good,1,0,0,0,20s,128.23809523809524
36,No,Travel_Rarely,1425,Research & Development,14 KM,High School,Life Sciences,924,High,Male,68,3,2,Healthcare Representative,Very High,Married,6586,4821,0,Yes,17,High,Low,,17,2,Good,16,8,4,11,30s,182.94444444444446
47,No,Travel_Rarely,1454,Sales,2 KM,Master’s Degree,Life Sciences,925,Very High,Female,65,2,1,Sales Representative,Very High,Single,3294,13137,1,Yes,18,High,Low,,3,3,Good,3,2,1,2,40s,70.08510638297872
22,Yes,Travel_Rarely,617,Research & Development,3 KM,High School,Life Sciences,926,Medium,Female,34,3,2,Manufacturing Director,High,Married,4171,10022,0,Yes,19,High,Low,,4,3,Best,3,2,0,2,20s,189.5909090909091
41,Yes,Travel_Rarely,1085,Research & Development,2 KM,Master’s Degree,Life Sciences,927,Medium,Female,57,1,1,Laboratory Technician,Very High,Divorced,2778,17725,4,Yes,13,High,High,,10,1,Good,7,7,1,0,40s,67.7560975609756
28,No,Travel_Rarely,995,Research & Development,9 KM,Bachelor’s Degree,Medical,930,High,Female,77,3,1,Research Scientist,High,Divorced,2377,9834,5,No,18,High,Medium,,6,2,Better,2,2,2,2,20s,84.89285714285714
39,Yes,Travel_Rarely,1122,Research & Development,6 KM,Bachelor’s Degree,Medical,932,Very High,Male,70,3,1,Laboratory Technician,Low,Married,2404,4303,7,Yes,21,Very High,Very High,,8,2,Bad,2,2,2,2,30s,61.64102564102564
27,No,Travel_Rarely,618,Research & Development,4 KM,Bachelor’s Degree,Life Sciences,933,Medium,Female,76,3,1,Research Scientist,High,Single,2318,17808,1,No,19,High,High,,1,2,Better,1,1,0,0,20s,85.85185185185185
34,No,Travel_Rarely,546,Research & Development,10 KM,Bachelor’s Degree,Life Sciences,934,Medium,Male,83,3,1,Laboratory Technician,Medium,Divorced,2008,6896,1,No,14,High,Medium,,1,3,Better,1,0,1,0,30s,59.05882352941177
42,No,Travel_Rarely,462,Sales,14 KM,Associate’s Degree,Medical,936,High,Female,68,2,2,Sales Executive,High,Single,6244,7824,7,No,17,High,Low,,10,6,Better,5,4,0,3,40s,148.66666666666666
33,No,Travel_Rarely,1198,Research & Development,1 KM,Master’s Degree,Other,939,High,Male,100,2,1,Research Scientist,Low,Single,2799,3339,3,Yes,11,High,Medium,,6,1,Better,3,2,0,2,30s,84.81818181818181
58,No,Travel_Rarely,1272,Research & Development,5 KM,Bachelor’s Degree,Technical Degree,940,High,Female,37,2,3,Healthcare Representative,Medium,Divorced,10552,9255,2,Yes,13,High,Very High,,24,3,Better,6,0,0,4,50s,181.93103448275863
31,No,Travel_Rarely,154,Sales,7 KM,Master’s Degree,Life Sciences,941,Medium,Male,41,2,1,Sales Representative,High,Married,2329,11737,3,No,15,High,Medium,,13,2,Best,7,7,5,2,30s,75.12903225806451
35,No,Travel_Rarely,1137,Research & Development,21 KM,High School,Life Sciences,942,Very High,Female,51,3,2,Healthcare Representative,Very High,Married,4014,19170,1,Yes,25,Very High,Very High,,10,2,Bad,10,6,0,7,30s,114.68571428571428
49,No,Travel_Rarely,527,Research & Development,8 KM,Associate’s Degree,Other,944,Low,Female,51,3,3,Laboratory Technician,Medium,Married,7403,22477,4,No,11,High,High,,29,3,Good,26,9,1,7,40s,151.08163265306123
48,No,Travel_Rarely,1469,Research & Development,20 KM,Master’s Degree,Medical,945,Very High,Male,51,3,1,Research Scientist,High,Married,2259,5543,4,No,17,High,Low,,13,2,Good,0,0,0,0,40s,47.0625
31,No,Non-Travel,1188,Sales,20 KM,Associate’s Degree,Marketing,947,Very High,Female,45,3,2,Sales Executive,High,Married,6932,24406,1,No,13,High,Very High,,9,2,Good,9,8,0,0,30s,223.61290322580646
36,No,Travel_Rarely,188,Research & Development,7 KM,Master’s Degree,Other,949,Medium,Male,65,3,1,Research Scientist,Very High,Single,4678,23293,2,No,18,High,High,,8,6,Better,6,2,0,1,30s,129.94444444444446
38,No,Travel_Rarely,1333,Research & Development,1 KM,Bachelor’s Degree,Technical Degree,950,Very High,Female,80,3,3,Research Director,Low,Married,13582,16292,1,No,13,High,Medium,,15,3,Better,15,12,5,11,30s,357.42105263157896
32,No,Non-Travel,1184,Research & Development,1 KM,Bachelor’s Degree,Life Sciences,951,High,Female,70,2,1,Laboratory Technician,Medium,Married,2332,3974,6,No,20,Very High,High,,5,3,Better,3,0,0,2,30s,72.875
25,Yes,Travel_Rarely,867,Sales,19 KM,Associate’s Degree,Marketing,952,High,Male,36,2,1,Sales Representative,Medium,Married,2413,18798,1,Yes,18,High,High,,1,2,Better,1,0,0,0,20s,96.52
40,No,Travel_Rarely,658,Sales,10 KM,Master’s Degree,Marketing,954,Low,Male,67,2,3,Sales Executive,Medium,Divorced,9705,20652,2,No,12,High,Medium,,11,2,Good,1,0,0,0,30s,242.625
26,No,Travel_Frequently,1283,Sales,1 KM,Bachelor’s Degree,Medical,956,High,Male,52,2,2,Sales Executive,Low,Single,4294,11148,1,No,12,High,Medium,,7,2,Better,7,7,0,7,20s,165.15384615384616
41,No,Travel_Rarely,263,Research & Development,6 KM,Bachelor’s Degree,Medical,957,Very High,Male,59,3,1,Laboratory Technician,Low,Single,4721,3119,2,Yes,13,High,High,,20,3,Better,18,13,2,17,40s,115.14634146341463
36,No,Travel_Rarely,938,Research & Development,2 KM,Master’s Degree,Medical,958,High,Male,79,3,1,Laboratory Technician,High,Single,2519,12287,4,No,21,Very High,High,,16,6,Better,11,8,3,9,30s,69.97222222222223
19,Yes,Travel_Rarely,419,Sales,21 KM,Bachelor’s Degree,Other,959,Very High,Male,37,2,1,Sales Representative,Medium,Single,2121,9947,1,Yes,13,High,Medium,,1,3,Best,1,0,0,0,20s,111.63157894736842
20,Yes,Travel_Rarely,129,Research & Development,4 KM,Bachelor’s Degree,Technical Degree,960,Low,Male,84,3,1,Laboratory Technician,Low,Single,2973,13008,1,No,19,High,Medium,,1,2,Better,1,0,0,0,20s,148.65
31,No,Travel_Rarely,616,Research & Development,12 KM,Bachelor’s Degree,Medical,961,Very High,Female,41,3,2,Healthcare Representative,Very High,Married,5855,17369,0,Yes,11,High,High,,10,2,Bad,9,7,8,5,30s,188.8709677419355
40,No,Travel_Frequently,1469,Research & Development,9 KM,Master’s Degree,Medical,964,Very High,Male,35,3,1,Research Scientist,Medium,Divorced,3617,25063,8,Yes,14,High,Very High,,3,2,Better,1,1,0,0,30s,90.425
32,No,Travel_Rarely,498,Research & Development,3 KM,Master’s Degree,Medical,966,High,Female,93,3,2,Manufacturing Director,Low,Married,6725,13554,1,No,12,High,High,,8,2,Best,8,7,6,3,30s,210.15625
36,Yes,Travel_Rarely,530,Sales,3 KM,High School,Life Sciences,967,High,Male,51,2,3,Sales Executive,Very High,Married,10325,5518,1,Yes,11,High,Low,,16,6,Better,16,7,3,7,30s,286.80555555555554
33,No,Travel_Rarely,1069,Research & Development,1 KM,Bachelor’s Degree,Life Sciences,969,Medium,Female,42,2,2,Healthcare Representative,Very High,Single,6949,12291,0,No,14,High,Low,,6,3,Better,5,0,1,4,30s,210.57575757575756
37,Yes,Travel_Rarely,625,Sales,1 KM,Master’s Degree,Life Sciences,970,Low,Male,46,2,3,Sales Executive,High,Married,10609,14922,5,No,11,High,High,,17,2,Bad,14,1,11,7,30s,286.72972972972974
45,No,Non-Travel,805,Research & Development,4 KM,Associate’s Degree,Life Sciences,972,High,Male,57,3,2,Laboratory Technician,Medium,Married,4447,23163,1,No,12,High,Medium,,9,5,Good,9,7,0,8,40s,98.82222222222222
29,No,Travel_Frequently,1404,Sales,20 KM,Bachelor’s Degree,Technical Degree,974,High,Female,84,3,1,Sales Representative,Very High,Married,2157,18203,1,No,15,High,Medium,,3,5,Better,3,1,0,2,20s,74.37931034482759
35,No,Travel_Rarely,1219,Sales,18 KM,Bachelor’s Degree,Medical,975,High,Female,86,3,2,Sales Executive,High,Married,4601,6179,1,No,16,High,Medium,,5,3,Better,5,2,1,0,30s,131.45714285714286
52,No,Travel_Rarely,1053,Research & Development,1 KM,Associate’s Degree,Life Sciences,976,Very High,Male,70,3,4,Manager,Very High,Married,17099,13829,2,No,15,High,Medium,,26,2,Good,9,8,7,8,50s,328.8269230769231
58,Yes,Travel_Rarely,289,Research & Development,2 KM,Bachelor’s Degree,Technical Degree,977,Very High,Male,51,3,1,Research Scientist,High,Single,2479,26227,4,No,24,Very High,Low,,7,4,Better,1,0,0,0,50s,42.741379310344826
53,No,Travel_Rarely,1376,Sales,2 KM,Associate’s Degree,Medical,981,High,Male,45,3,4,Manager,High,Divorced,14852,13938,6,No,13,High,High,,22,3,Best,17,13,15,2,50s,280.22641509433964
30,No,Travel_Rarely,231,Sales,8 KM,Associate’s Degree,Other,982,High,Male,62,3,3,Sales Executive,High,Divorced,7264,9977,5,No,11,High,Low,,10,2,Best,8,4,7,7,20s,242.13333333333333
38,No,Non-Travel,152,Sales,10 KM,Bachelor’s Degree,Technical Degree,983,High,Female,85,3,2,Sales Executive,Very High,Single,5666,19899,1,Yes,13,High,Medium,,6,1,Better,5,3,1,3,30s,149.10526315789474
35,No,Travel_Rarely,882,Sales,3 KM,Master’s Degree,Life Sciences,984,Very High,Male,92,3,3,Sales Executive,Very High,Divorced,7823,6812,6,No,13,High,Medium,,12,2,Better,10,9,0,8,30s,223.5142857142857
39,No,Travel_Rarely,903,Sales,2 KM,Doctorate,Life Sciences,985,Low,Male,41,4,3,Sales Executive,High,Single,7880,2560,0,No,18,High,Very High,,9,3,Better,8,7,0,7,30s,202.05128205128204
40,Yes,Non-Travel,1479,Sales,24 KM,Bachelor’s Degree,Life Sciences,986,Medium,Female,100,4,4,Sales Executive,Medium,Single,13194,17071,4,Yes,16,High,Very High,,22,2,Good,1,0,0,0,30s,329.85
47,No,Travel_Frequently,1379,Research & Development,16 KM,Master’s Degree,Medical,987,High,Male,64,4,2,Manufacturing Director,High,Divorced,5067,6759,1,Yes,19,High,High,,20,3,Best,19,10,2,7,40s,107.80851063829788
36,No,Non-Travel,1229,Sales,8 KM,Master’s Degree,Technical Degree,990,Low,Male,84,3,2,Sales Executive,Very High,Divorced,5079,25952,4,No,13,High,Very High,,12,3,Better,7,7,0,7,30s,141.08333333333334
31,Yes,Non-Travel,335,Research & Development,9 KM,Associate’s Degree,Medical,991,High,Male,46,2,1,Research Scientist,Low,Single,2321,10322,0,Yes,22,Very High,Low,,4,0,Better,3,2,1,2,30s,74.87096774193549
33,No,Non-Travel,722,Sales,17 KM,Bachelor’s Degree,Life Sciences,992,Very High,Male,38,3,4,Manager,High,Single,17444,20489,1,No,11,High,Very High,,10,2,Better,10,8,6,0,30s,528.6060606060606
29,Yes,Travel_Rarely,906,Research & Development,10 KM,Bachelor’s Degree,Life Sciences,994,Very High,Female,92,2,1,Research Scientist,Low,Single,2404,11479,6,Yes,20,Very High,High,,3,5,Better,0,0,0,0,20s,82.89655172413794
33,No,Travel_Rarely,461,Research & Development,13 KM,High School,Life Sciences,995,Medium,Female,53,3,1,Research Scientist,Very High,Single,3452,17241,3,No,18,High,Low,,5,4,Better,3,2,0,2,30s,104.60606060606061
45,No,Travel_Rarely,974,Research & Development,1 KM,Master’s Degree,Medical,996,Very High,Female,91,3,1,Laboratory Technician,Very High,Divorced,2270,11005,3,No,14,High,Very High,,8,2,Better,5,3,0,2,40s,50.44444444444444
50,No,Travel_Rarely,1126,Research & Development,1 KM,Associate’s Degree,Medical,997,Very High,Male,66,3,4,Research Director,Very High,Divorced,17399,6615,9,No,22,Very High,High,,32,1,Good,5,4,1,3,40s,347.98
33,No,Travel_Frequently,827,Research & Development,1 KM,Master’s Degree,Other,998,High,Female,84,4,2,Healthcare Representative,Medium,Married,5488,20161,1,Yes,13,High,Low,,6,2,Better,6,5,1,2,30s,166.3030303030303
41,No,Travel_Frequently,840,Research & Development,9 KM,Bachelor’s Degree,Medical,999,Low,Male,64,3,5,Research Director,High,Divorced,19419,3735,2,No,17,High,Medium,,21,2,Best,18,16,0,11,40s,473.6341463414634
27,No,Travel_Rarely,1134,Research & Development,16 KM,Master’s Degree,Technical Degree,1001,High,Female,37,3,1,Laboratory Technician,Medium,Married,2811,12086,9,No,14,High,Medium,,4,2,Better,2,2,2,2,20s,104.11111111111111
45,No,Non-Travel,248,Research & Development,23 KM,Associate’s Degree,Life Sciences,1002,Very High,Male,42,3,2,Laboratory Technician,Low,Married,3633,14039,1,Yes,15,High,High,,9,2,Better,9,8,0,8,40s,80.73333333333333
47,No,Travel_Rarely,955,Sales,4 KM,Associate’s Degree,Life Sciences,1003,Very High,Female,83,3,2,Sales Executive,Very High,Single,4163,8571,1,Yes,17,High,High,,9,0,Better,9,0,0,7,40s,88.57446808510639
30,Yes,Travel_Rarely,138,Research & Development,22 KM,Bachelor’s Degree,Life Sciences,1004,Low,Female,48,3,1,Research Scientist,High,Married,2132,11539,4,Yes,11,High,Medium,,7,2,Better,5,2,0,1,20s,71.06666666666666
50,No,Travel_Rarely,939,Research & Development,24 KM,Bachelor’s Degree,Life Sciences,1005,Very High,Male,95,3,4,Manufacturing Director,High,Married,13973,4161,3,Yes,18,High,Very High,,22,2,Better,12,11,1,5,40s,279.46
38,No,Travel_Frequently,1391,Research & Development,10 KM,High School,Medical,1006,High,Male,66,3,1,Research Scientist,High,Married,2684,12127,0,No,17,High,Medium,,3,0,Good,2,1,0,2,30s,70.63157894736842
46,No,Travel_Rarely,566,Research & Development,7 KM,Associate’s Degree,Medical,1007,Very High,Male,75,3,3,Manufacturing Director,High,Divorced,10845,24208,6,No,13,High,Medium,,13,3,Better,8,7,0,7,40s,235.7608695652174
24,No,Travel_Rarely,1206,Research & Development,17 KM,High School,Medical,1009,Very High,Female,41,2,2,Manufacturing Director,High,Divorced,4377,24117,1,No,15,High,Medium,,5,6,Better,4,2,3,2,20s,182.375
35,Yes,Travel_Rarely,622,Research & Development,14 KM,Master’s Degree,Other,1010,High,Male,39,2,1,Laboratory Technician,Medium,Divorced,3743,10074,1,Yes,24,Very High,Very High,,5,2,Bad,4,2,0,2,30s,106.94285714285714
31,No,Travel_Frequently,853,Research & Development,1 KM,High School,Life Sciences,1011,High,Female,96,3,2,Manufacturing Director,Low,Married,4148,11275,1,No,12,High,High,,4,1,Better,4,3,0,3,30s,133.80645161290323
18,No,Non-Travel,287,Research & Development,5 KM,Associate’s Degree,Life Sciences,1012,Medium,Male,73,3,1,Research Scientist,Very High,Single,1051,13493,1,No,15,High,Very High,,0,2,Better,0,0,0,0,20s,58.388888888888886
54,No,Travel_Rarely,1441,Research & Development,17 KM,Bachelor’s Degree,Technical Degree,1013,High,Female,56,3,3,Manufacturing Director,High,Married,10739,13943,8,No,11,High,High,,22,2,Better,10,7,0,8,50s,198.87037037037038
35,No,Travel_Rarely,583,Research & Development,25 KM,Master’s Degree,Medical,1014,High,Female,57,3,3,Healthcare Representative,High,Divorced,10388,6975,1,Yes,11,High,High,,16,3,Good,16,10,10,1,30s,296.8
30,No,Travel_Rarely,153,Research & Development,8 KM,Associate’s Degree,Life Sciences,1015,Medium,Female,73,4,3,Research Director,Low,Married,11416,17802,0,Yes,12,High,High,,9,4,Good,8,7,1,7,20s,380.53333333333336
20,Yes,Travel_Rarely,1097,Research & Development,11 KM,Bachelor’s Degree,Medical,1016,Very High,Female,98,2,1,Research Scientist,Low,Single,2600,18275,1,Yes,15,High,Low,,1,2,Better,1,0,0,0,20s,130.0
30,Yes,Travel_Frequently,109,Research & Development,5 KM,Bachelor’s Degree,Medical,1017,Medium,Female,60,3,1,Laboratory Technician,Medium,Single,2422,25725,0,No,17,High,Low,,4,3,Better,3,2,1,2,20s,80.73333333333333
26,No,Travel_Rarely,1066,Research & Development,2 KM,Associate’s Degree,Medical,1018,Very High,Male,32,4,2,Manufacturing Director,Very High,Married,5472,3334,1,No,12,High,Medium,,8,2,Better,8,7,1,3,20s,210.46153846153845
22,No,Travel_Rarely,217,Research & Development,8 KM,High School,Life Sciences,1019,Medium,Male,94,1,1,Laboratory Technician,Low,Married,2451,6881,1,No,15,High,Low,,4,3,Good,4,3,1,1,20s,111.4090909090909
48,No,Travel_Rarely,277,Research & Development,6 KM,Bachelor’s Degree,Life Sciences,1022,Low,Male,97,2,2,Healthcare Representative,High,Single,4240,13119,2,No,13,High,Very High,,19,0,Better,2,2,2,2,40s,88.33333333333333
48,No,Travel_Rarely,1355,Research & Development,4 KM,Master’s Degree,Life Sciences,1024,High,Male,78,2,3,Healthcare Representative,High,Single,10999,22245,7,No,14,High,Medium,,27,3,Better,15,11,4,8,40s,229.14583333333334
41,No,Travel_Rarely,549,Research & Development,7 KM,Associate’s Degree,Medical,1025,Very High,Female,42,3,2,Manufacturing Director,High,Single,5003,23371,6,No,14,High,Medium,,8,6,Better,2,2,2,1,40s,122.02439024390245
39,No,Travel_Rarely,466,Research & Development,1 KM,High School,Life Sciences,1026,Very High,Female,65,2,4,Manufacturing Director,Very High,Married,12742,7060,1,No,16,High,High,,21,3,Better,21,6,11,8,30s,326.71794871794873
27,No,Travel_Rarely,1055,Research & Development,2 KM,Master’s Degree,Life Sciences,1027,Low,Female,47,3,2,Manufacturing Director,Very High,Married,4227,4658,0,No,18,High,Medium,,4,2,Better,3,2,2,2,20s,156.55555555555554
35,No,Travel_Rarely,802,Research & Development,10 KM,Bachelor’s Degree,Other,1028,Medium,Male,45,3,1,Laboratory Technician,Very High,Divorced,3917,9541,1,No,20,Very High,Low,,3,4,Good,3,2,1,2,30s,111.91428571428571
42,No,Travel_Rarely,265,Sales,5 KM,Associate’s Degree,Marketing,1029,Very High,Male,90,3,5,Manager,High,Married,18303,7770,6,No,13,High,Medium,,21,3,Best,1,0,0,0,40s,435.7857142857143
50,No,Travel_Rarely,804,Research & Development,9 KM,Bachelor’s Degree,Life Sciences,1030,Low,Male,64,3,1,Laboratory Technician,Very High,Married,2380,20165,4,No,18,High,Medium,,8,5,Better,1,0,0,0,40s,47.6
59,No,Travel_Rarely,715,Research & Development,2 KM,Bachelor’s Degree,Life Sciences,1032,High,Female,69,2,4,Manufacturing Director,Very High,Single,13726,21829,3,Yes,13,High,Low,,30,4,Better,5,3,4,3,50s,232.64406779661016
37,Yes,Travel_Rarely,1141,Research & Development,11 KM,Associate’s Degree,Medical,1033,Low,Female,61,1,2,Healthcare Representative,Medium,Married,4777,14382,5,No,15,High,Low,,15,2,Bad,1,0,0,0,30s,129.1081081081081
55,No,Travel_Frequently,135,Research & Development,18 KM,Master’s Degree,Medical,1034,High,Male,62,3,2,Healthcare Representative,Medium,Married,6385,12992,3,Yes,14,High,Very High,,17,3,Better,8,7,6,7,50s,116.0909090909091
41,No,Non-Travel,247,Research & Development,7 KM,High School,Life Sciences,1035,Medium,Female,55,1,5,Research Director,High,Divorced,19973,20284,1,No,22,Very High,Medium,,21,3,Better,21,16,5,10,40s,487.1463414634146
38,No,Travel_Rarely,1035,Sales,3 KM,Master’s Degree,Life Sciences,1036,Medium,Male,42,3,2,Sales Executive,Very High,Single,6861,4981,8,Yes,12,High,High,,19,1,Better,1,0,0,0,30s,180.55263157894737
26,Yes,Non-Travel,265,Sales,29 KM,Associate’s Degree,Medical,1037,Medium,Male,79,1,2,Sales Executive,Low,Single,4969,21813,8,No,18,High,Very High,,7,6,Better,2,2,2,2,20s,191.1153846153846
52,Yes,Travel_Rarely,266,Sales,2 KM,High School,Marketing,1038,Low,Female,57,1,5,Manager,Very High,Married,19845,25846,1,No,15,High,Very High,,33,3,Better,32,14,6,9,50s,381.63461538461536
44,No,Travel_Rarely,1448,Sales,28 KM,Bachelor’s Degree,Medical,1039,Very High,Female,53,4,4,Sales Executive,Very High,Married,13320,11737,3,Yes,18,High,High,,23,2,Better,12,11,11,11,40s,302.72727272727275
50,No,Non-Travel,145,Sales,1 KM,Bachelor’s Degree,Life Sciences,1040,Very High,Female,95,3,2,Sales Executive,High,Married,6347,24920,0,No,12,High,Low,,19,3,Better,18,7,0,13,40s,126.94
36,Yes,Travel_Rarely,885,Research & Development,16 KM,Master’s Degree,Life Sciences,1042,High,Female,43,4,1,Laboratory Technician,Low,Single,2743,8269,1,No,16,High,High,,18,1,Better,17,13,15,14,30s,76.19444444444444
39,No,Travel_Frequently,945,Research & Development,22 KM,Bachelor’s Degree,Medical,1043,Very High,Female,82,3,3,Manufacturing Director,Low,Single,10880,5083,1,Yes,13,High,High,,21,2,Better,21,6,2,8,30s,278.97435897435895
33,No,Non-Travel,1038,Sales,8 KM,High School,Life Sciences,1044,Medium,Female,88,2,1,Sales Representative,Very High,Single,2342,21437,0,No,19,High,Very High,,3,2,Good,2,2,2,2,30s,70.96969696969697
45,No,Travel_Rarely,1234,Sales,11 KM,Associate’s Degree,Life Sciences,1045,Very High,Female,90,3,4,Manager,Very High,Married,17650,5404,3,No,13,High,Medium,,26,4,Best,9,3,1,1,40s,392.22222222222223
32,No,Non-Travel,1109,Research & Development,29 KM,Master’s Degree,Medical,1046,Very High,Female,69,3,1,Laboratory Technician,High,Single,4025,11135,9,No,12,High,Medium,,10,2,Better,8,7,7,7,30s,125.78125
34,No,Travel_Rarely,216,Sales,1 KM,Master’s Degree,Marketing,1047,Medium,Male,75,4,2,Sales Executive,Very High,Divorced,9725,12278,0,No,11,High,Very High,,16,2,Good,15,1,0,9,30s,286.02941176470586
59,No,Travel_Rarely,1089,Sales,1 KM,Associate’s Degree,Technical Degree,1048,Medium,Male,66,3,3,Manager,Very High,Married,11904,11038,3,Yes,14,High,High,,14,1,Bad,6,4,0,4,50s,201.76271186440678
45,No,Travel_Rarely,788,Human Resources,24 KM,Master’s Degree,Medical,1049,Medium,Male,36,3,1,Human Resources,Medium,Single,2177,8318,1,No,16,High,Low,,6,3,Better,6,3,0,4,40s,48.37777777777778
53,No,Travel_Frequently,124,Sales,2 KM,Bachelor’s Degree,Marketing,1050,High,Female,38,2,3,Sales Executive,Medium,Married,7525,23537,2,No,12,High,Low,,30,2,Better,15,7,6,12,50s,141.9811320754717
36,Yes,Travel_Rarely,660,Research & Development,15 KM,Bachelor’s Degree,Other,1052,Low,Male,81,3,2,Laboratory Technician,High,Divorced,4834,7858,7,No,14,High,Medium,,9,3,Good,1,0,0,0,30s,134.27777777777777
26,Yes,Travel_Frequently,342,Research & Development,2 KM,Bachelor’s Degree,Life Sciences,1053,Low,Male,57,3,1,Research Scientist,Low,Married,2042,15346,6,Yes,14,High,Medium,,6,2,Better,3,2,1,2,20s,78.53846153846153
34,No,Travel_Rarely,1333,Sales,10 KM,Master’s Degree,Life Sciences,1055,High,Female,87,3,1,Sales Representative,High,Married,2220,18410,1,Yes,19,High,Very High,,1,2,Better,1,1,0,0,30s,65.29411764705883
28,No,Travel_Rarely,1144,Sales,10 KM,High School,Medical,1056,Very High,Male,74,3,1,Sales Representative,Medium,Married,1052,23384,1,No,22,Very High,Medium,,1,5,Better,1,0,0,0,20s,37.57142857142857
38,No,Travel_Frequently,1186,Research & Development,3 KM,Master’s Degree,Other,1060,High,Male,44,3,1,Research Scientist,High,Married,2821,2997,3,No,16,High,Low,,8,2,Better,2,2,2,2,30s,74.23684210526316
50,No,Travel_Rarely,1464,Research & Development,2 KM,Master’s Degree,Medical,1061,Medium,Male,62,3,5,Research Director,High,Married,19237,12853,2,Yes,11,High,Very High,,29,2,Good,8,1,7,7,40s,384.74
37,No,Travel_Rarely,124,Research & Development,3 KM,Bachelor’s Degree,Other,1062,Very High,Female,35,3,2,Healthcare Representative,Medium,Single,4107,13848,3,No,15,High,Low,,8,3,Good,4,3,0,1,30s,111.0
40,No,Travel_Rarely,300,Sales,26 KM,Bachelor’s Degree,Marketing,1066,High,Male,74,3,2,Sales Executive,Low,Married,8396,22217,1,No,14,High,Medium,,8,3,Good,7,7,7,5,30s,209.9
26,No,Travel_Frequently,921,Research & Development,1 KM,High School,Medical,1068,Low,Female,66,2,1,Research Scientist,High,Divorced,2007,25265,1,No,13,High,High,,5,5,Better,5,3,1,3,20s,77.1923076923077
46,No,Travel_Rarely,430,Research & Development,1 KM,Master’s Degree,Medical,1069,Very High,Male,40,3,5,Research Director,Very High,Divorced,19627,21445,9,No,17,High,Very High,,23,0,Better,2,2,2,2,40s,426.67391304347825
54,No,Travel_Rarely,1082,Sales,2 KM,Master’s Degree,Life Sciences,1070,High,Female,41,2,3,Sales Executive,High,Married,10686,8392,6,No,11,High,Medium,,13,4,Better,9,4,7,0,50s,197.88888888888889
56,No,Travel_Frequently,1240,Research & Development,9 KM,Bachelor’s Degree,Medical,1071,Low,Female,63,3,1,Research Scientist,High,Married,2942,12154,2,No,19,High,Medium,,18,4,Better,5,4,0,3,50s,52.535714285714285
36,No,Travel_Rarely,796,Research & Development,12 KM,Doctorate,Medical,1073,Very High,Female,51,2,3,Manufacturing Director,Very High,Single,8858,15669,0,No,11,High,Medium,,15,2,Good,14,8,7,8,30s,246.05555555555554
55,No,Non-Travel,444,Research & Development,2 KM,High School,Medical,1074,High,Male,40,2,4,Manager,Low,Single,16756,17323,7,No,15,High,Medium,,31,3,Best,9,7,6,2,50s,304.6545454545454
